video_number,group,title,hook,seo_keywords,script_line1,script_line2,script_line3,script_line4,script_line5,overlay_1,overlay_2,overlay_3,cta
1,Site & App Overview,What Income Spectrum Actually Is,"I built this because I couldn't find one place that had everything.","income options for entrepreneurs, income path for beginners","Someone wants to start earning on their own - contractor work, freelance, a side income - and they spend hours bouncing between random websites trying to piece it together.","Income Spectrum is the free resource hub I wish had existed. One place where you can find actual income platforms - Fiverr, Angi Pro, Thumbtack, Clarity - plus certifications, business tools, and state-by-state government resources.","It's not a course. It's not a membership. It's free. You go, you explore, you find what fits where you actually are right now.","There's also a companion app with a quiz that helps you figure out what type of founder you are - and from there, what income paths actually make sense for you.","If you've been trying to figure out how to start earning independently, this is worth ten minutes of your time.","Free resource hub - no membership required","Platforms + Certifications + State Resources","incomespectrum.com","Go check it out at incomespectrum.com - no email required, no paywall, just go look around."
2,Site & App Overview,How to Use the App,"The app does something the website can't - it learns about you first.","founder identity, income path for beginners","The Income Spectrum app is at incomespectrum.app - and the main thing it does differently is the Founder Identity Quiz.","You open the app, take the quiz - maybe five minutes - and it figures out what type of founder you are. Hands-on, service-based, digital, product-focused?","Once you have that, you get what's called a Founder File - your result profile. From there the app points you toward income platforms, certifications, and resources that match how you work.","There's also a state resource lookup. Pull up your state and get licensing requirements, programs, and what's specific to where you are.","The app is mobile-friendly, free, and a good starting point if you don't know where to begin. Take the quiz first.","Founder Identity Quiz - free in the app","Your Founder File = your personalized starting point","incomespectrum.app","Download or open the app at incomespectrum.app and take the quiz - takes about five minutes."
3,Site & App Overview,What Makes Income Spectrum Different,"Most resources for entrepreneurs are either too broad or trying to sell you something.","entrepreneur tools and resources, business platforms for independent workers","There are a lot of websites that tell you 'here are ways to make money.' Usually surface-level, often affiliate-driven, and they don't help you figure out what fits you specifically.","Income Spectrum is different in a few ways. It's actually organized - real sections: income platforms, education and training, supportive services, state and federal resources.","The app has the Founder Identity Quiz, which helps you figure out what kind of entrepreneur you are before you start throwing yourself at platforms that might not be a good fit.","The state pages are genuinely useful. Each state has its own page with licensing information, state-specific programs, and resources a lot of people don't even know exist.","And none of it costs anything. There's no upsell. There's no course at the end. Just a well-organized, free resource hub.","Organized by category - not a random list","State-specific pages for all 50 states","No upsell. No paywall. Free.","See for yourself at incomespectrum.com."
4,Site & App Overview,Everything You Can Find on Income Spectrum,"I'll give you a quick tour because it's more than most people realize.","income options for entrepreneurs, entrepreneur tools and resources, side hustle platforms","The main site has five sections. Income Options - platforms where you can start earning. Angi Pro, Fiverr, Thumbtack, Clarity, Catalant, Outschool, Care.com, FlexJobs, RealPage, MyVendorCenter.","Education and Training - certifications for skilled trades and professional services. ALOA for locksmiths, AWS for welding, NACPB for bookkeeping.","Supportive Services - business formation, compliance tools, things that help you run a business once you've started one.","State and Federal Resources - every US state has its own page. Licensing info, state programs, federal programs.","The app adds the Founder Identity Quiz and state-based lookup on mobile. All free. All organized.","5 sections: Income / Education / Services / State Resources / Blog","Real platforms, real certifications","incomespectrum.com","Go to incomespectrum.com and start with whatever section is most relevant to where you are right now."
5,Site & App Overview,Income Spectrum for Side Hustlers vs Full-Time Entrepreneurs,"It works for both - but you'll use it differently.","side hustle platforms, income options for entrepreneurs, how to start earning independently","If you're a side hustler - you have a job and you're trying to build something on the side - Income Spectrum is useful for finding platforms you can start using now. Fiverr, Thumbtack, Care.com, FlexJobs.","The Education section is also worth looking at if you want a certification that makes you more hireable or lets you charge more for what you already do.","If you're going full-time, the site has more depth. State pages have licensing and program info. Supportive Services has formation and compliance tools.","The Founder Identity Quiz in the app helps you get clear on what type of business actually fits how you operate.","Side hustlers use the income and education sections heavily. Full-time founders use everything - especially state resources and supportive services.","Side hustle path vs. full business path","Use what's relevant to where you are now","incomespectrum.com - free, no account needed","Check out incomespectrum.com - if you're not sure where to start, take the Founder Identity Quiz in the app first."
6,Founder Identity & Quiz,What Is a Founder Identity?,"Not every entrepreneur is built the same - and that actually matters.","founder identity, income path for beginners","People say 'start a business' like it's one thing. But a person who's great with their hands and wants to do service work is a completely different type of entrepreneur than someone who wants to build digital products or do remote consulting.","If you try to build the wrong type of business for how you actually work - how you think, what you're good at, what you want your day to look like - it's going to be a grind in a bad way.","Founder Identity is the idea that you have a type. A pattern. A set of traits that point toward certain income paths and away from others.","The Income Spectrum app has a quiz that helps you identify yours. It asks about how you work, what kind of value you create, how you want to operate.","From that it gives you a Founder File - a profile of your founder type - with income paths and resources that fit it. It's not a personality test for fun. It's meant to save you time.","Your founder type shapes which income paths fit you","Not every business model fits every person","Find yours: incomespectrum.app","Take the Founder Identity Quiz in the app at incomespectrum.app - it's free and it's genuinely useful."
7,Founder Identity & Quiz,What the Quiz Actually Tells You,"It's not asking you how motivated you are - it goes deeper than that.","founder identity, income path for beginners, business platforms for independent workers","The Founder Identity Quiz is not one of those fluffy 'what kind of entrepreneur are you' quizzes where you answer five questions and get told you're a visionary.","It's trying to figure out how you work. What kind of value you naturally create. Whether you're better suited for service-based income, product-based income, digital work, hands-on work, consulting.","Once it has a picture of that, it gives you your Founder File. And the Founder File doesn't just give you a label - it points you toward income platforms that match your type and certifications that might be relevant.","Instead of just browsing the entire site hoping something clicks, you start with a clearer sense of direction. Here's your type, here's where to look first.","Takes about five minutes. If you've been feeling scattered about where to focus your energy, it's worth doing just to get some clarity.","The quiz maps HOW you work - not just what you want","Your Founder File = your personalized resource map","incomespectrum.app","Go to incomespectrum.app and take the quiz - it'll make the rest of the site make more sense."
8,Founder Identity & Quiz,The Different Founder Types,"There are a few main categories - and most people fall somewhere specific.","founder identity, income options for entrepreneurs, how to start earning independently","When you take the Founder Identity Quiz, the result places you into a founder type. Here's a rough overview.","Hands-on founders - physical, skilled, or trade-based work. Contractors, service providers, technicians. They tend to do well on Angi Pro, Thumbtack, or platforms built for local service work.","Digital founders - more online, content or product-based or remote service work. Fiverr, Clarity, Catalant, Outschool fit differently here.","Service-role founders - professional services like bookkeeping, consulting, coaching. NACPB, AIPB, Clarity fit this lane.","And there are hybrid types - people who cross multiple categories. The quiz figures out where you land and your Founder File tells you what to do with that information.","Hands-on / Digital / Service / Product - which are you?","Your type = your income path filter","Take the quiz: incomespectrum.app","Take the Founder Identity Quiz at incomespectrum.app to find out which type fits you."
9,Founder Identity & Quiz,How to Use Your Founder Type to Pick the Right Income Path,"Knowing your founder type without doing anything with it is kind of useless.","founder identity, income options for entrepreneurs, business platforms for independent workers","So let's say you take the quiz and you're a hands-on service founder. Now what?","The practical move is to filter the Income Options section through that. Instead of looking at every platform, you already know - hands-on service founders should be looking at Angi Pro, Thumbtack, maybe RealPage or MyVendorCenter depending on your work.","Then look at Education and Training for certifications that strengthen your credibility. If it's trades, look at skilled trades credentials.","Then check your state's page - because licensing matters for service work and every state is different.","That's the flow. Quiz, Founder File, filtered platform list, certifications, state resources. Designed to work in order.","Quiz - Founder File - Filtered platform list","Stop browsing everything - start with your type","incomespectrum.app","Start with the quiz at incomespectrum.app, then follow your Founder File into the site."
10,Founder Identity & Quiz,Why Most People Skip This Step and Struggle,"I see this constantly - people jump straight to platforms before they know what fits them.","founder identity, income path for beginners, how to start earning independently","Someone decides they want to start earning on their own. First instinct - find a platform, sign up, start. And that makes sense. The impulse is good.","But what happens is they end up on a platform that doesn't match how they work or what they're good at. They spend weeks trying to get traction. Nothing clicks.","They think they're doing something wrong or they're not cut out for this. But really they just picked the wrong lane.","The Founder Identity Quiz exists to help you skip that mismatch. A short investment of time upfront that helps you aim better.","It doesn't tell you what to do. It tells you what type of work you're actually built for, and then points you toward platforms and resources that fit that type.","Wrong platform = unnecessary struggle","5 minutes now saves weeks of frustration","incomespectrum.app - free quiz","Take the Founder Identity Quiz before you commit to any platform. Find it at incomespectrum.app."
